investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_CERT,MTO_COMPROM,SEC_EJEC,DES_UEP
2352536,2352536,2020,2,119161.16,0,0,375095.0,119161.16,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2020,3,142352.1,0,0,0.0,219843.84,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2020,6,77491.48,0,0,0.0,77491.48,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2020,0,0.0,375095,0,0.0,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2021,9,0.0,0,0,4221.69,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2021,10,4221.69,0,0,0.0,4221.69,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2352536,2352536,2021,0,0.0,4223,0,0.0,0.0,301238,MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE
2705952,2705952,2025,11,0.0,0,0,214818.0,0.0,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE
2705952,2705952,2025,0,0.0,214818,0,0.0,0.0,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE
2705952,2705952,2026,1,0.0,0,0,400449.52,0.0,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE
2705952,2705952,2026,2,0.0,0,0,10000.0,410449.52,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE
2705952,2705952,2026,3,319058.33,0,0,0.0,311285.33,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE
2705952,2705952,2026,0,0.0,410450,0,0.0,0.0,301175,MUNICIPALIDAD DISTRITAL DE SAN JOSE
2129102,2129102,2011,10,72121.09,0,0,0.0,72121.09,301254,MUNICIPALIDAD DISTRITAL DE BREÑA
2129102,2129102,2011,11,43768.85,0,0,0.0,43768.85,301254,MUNICIPALIDAD DISTRITAL DE BREÑA
2129102,2129102,2011,12,1200.0,0,0,0.0,1200.0,301254,MUNICIPALIDAD DISTRITAL DE BREÑA
2129102,2129102,2011,0,0.0,118095,0,0.0,0.0,301254,MUNICIPALIDAD DISTRITAL DE BREÑA
2530397,2530397,2022,4,0.0,0,0,118637.2,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2022,9,0.0,0,0,0.0,116000.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2022,10,29000.0,0,0,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2022,12,40000.01,0,0,0.0,40000.01,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2022,0,0.0,118638,0,0.0,0.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2023,4,16274.5,0,0,33766.0,33766.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2023,5,17491.5,0,0,22000.0,22000.0,726,REGION ANCASH SEDE CENTRAL
2530397,2530397,2023,6,25500.0,0,0,7000.0,7000.0,726,REGION ANCASH SEDE CENTRAL
