investment_code,COD_UNICO,DES_TIPO,COD_MES,PERIODO,MTO_ACT,FEC_PFA
2697718,2697718,ACTUALIZADO,3,2026-03,0.0,2026-03-05 00:19:14
2647097,2647097,ACTUALIZADO,7,2026-07,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,11,2026-11,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,10,2026-10,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,12,2026-12,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,3,2026-03,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,5,2026-05,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,8,2026-08,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,1,2026-01,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,6,2026-06,1558930.21,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,4,2026-04,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,9,2026-09,0.0,2026-02-09 15:13:18
2647097,2647097,ACTUALIZADO,2,2026-02,0.0,2026-02-09 15:13:18
2715454,2715454,ACTUALIZADO,12,2026-12,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,8,2026-08,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,10,2026-10,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,11,2026-11,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,1,2026-01,42500.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,5,2026-05,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,2,2026-02,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,3,2026-03,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,4,2026-04,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,7,2026-07,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,6,2026-06,0.0,2026-01-22 00:08:43
2715454,2715454,ACTUALIZADO,9,2026-09,0.0,2026-01-22 00:08:43
2541814,2541814,ACTUALIZADO,1,2026-01,0.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,2,2026-02,0.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,5,2026-05,0.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,12,2026-12,28432.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,8,2026-08,0.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,10,2026-10,0.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,3,2026-03,0.0,2026-02-24 18:03:59
2541814,2541814,ACTUALIZADO,6,2026-06,0.0,2026-02-24 18:03:59
