investment_code,CODIGO_UNICO,NUM_ANIO,COD_MES,MTO_DEVEN,MTO_CERT,MTO_COMPROM
2131115,2131115,2015,12,44911.05,-1962241.8,-654616.69
2131115,2131115,2016,5,3600.0,0.0,0.0
2131115,2131115,2016,6,3600.0,7032.56,252628.11
2131115,2131115,2016,7,113152.33,0.0,100119.77
2131115,2131115,2016,8,4799.4,0.0,0.0
2131115,2131115,2016,9,152675.73,651929.4,145475.73
2131115,2131115,2016,10,3600.0,137445.0,10800.0
2131115,2131115,2016,12,162576.0,0.0,0.0
2131115,2131115,2017,4,1772920.33,0.0,1765720.33
2131115,2131115,2017,5,713428.62,0.0,658003.84
2131115,2131115,2017,6,1252598.34,153379.0,1201061.95
2131115,2131115,2017,7,708454.52,0.0,658561.58
2131115,2131115,2017,8,714630.46,0.0,153379.0
2131115,2131115,2017,9,711029.43,534771.2,101704.0
2131115,2131115,2017,10,213659.45,138206.8,433067.2
2131115,2131115,2017,11,237521.38,-84395.8,53811.0
2131115,2131115,2017,12,166223.66,84395.8,83946.59
2131115,2131115,2018,3,334493.67,403775.0,334493.67
2131115,2131115,2018,5,54923.0,0.0,151565.0
2131115,2131115,2018,7,2.31,-114023.09,0.0
2131115,2131115,2018,10,234826.6,0.0,0.0
2131115,2131115,2018,12,30000.0,0.0,0.0
2131115,2131115,2019,10,3705.99,-11733.64,0.0
2131115,2131115,2019,11,229748.19,-16769.4,21098.37
2131115,2131115,2019,12,47019.55,0.0,0.0
2131115,2131115,2020,9,83268.13,0.0,0.0
2131115,2131115,2020,11,7518.91,0.0,7518.91
2131115,2131115,2020,12,37838.96,18961.41,35686.26
2131115,2131115,2021,4,6178.45,45203.1,6178.45
2131115,2131115,2021,5,5331.86,7616.94,7616.94
2131115,2131115,2021,7,2285.08,-39024.65,0.0
2131115,2131115,2021,12,3982.64,0.0,0.0
2131115,2131115,2022,5,24344.57,23887.01,115562.78
2131115,2131115,2022,6,10866.89,0.0,0.0
2131115,2131115,2022,9,62950.36,0.0,62950.36
2131115,2131115,2022,10,17749.26,25356.1,25356.1
2131115,2131115,2022,12,7606.84,0.0,0.0
2131115,2131115,2023,7,18666.07,0.0,0.0
2131115,2131115,2023,8,37236.87,0.0,37236.87
2131115,2131115,2023,12,56651.98,0.0,56651.98
2131115,2131115,2024,5,21727.44,21727.44,21727.44
2131115,2131115,2025,7,590.0,590.0,590.0
2131115,2131115,2025,12,3741.96,0.0,0.0
2131115,2131115,2026,3,3741.96,4828.91,4828.91
2165499,2165499,2013,12,6000.0,0.0,16883.0
2165499,2165499,2014,9,2625.0,3500.0,14000.0
2165499,2165499,2014,10,4375.0,7000.0,0.0
2165499,2165499,2014,11,3500.0,0.0,7000.0
2165499,2165499,2014,12,3500.0,0.0,0.0
