investment_code,CODIGO_UNICO,MTO_DEVEN,MTO_PIM,MTO_PIA,MTO_GIRADO,DEV_ANIO1,PER_PRIM_DEVENG,PER_ULT_DEVENG
2377900,2377900,498873.02,0,0,498873.02,0.0,201709,201809
2146195,2146195,51500.9,0,0,51500.9,0.0,201109,201112
2484944,2484944,184829.69,0,0,184829.69,0.0,202005,202212
2017492,2017492,35015956.38,4000000,4000000,34955033.28,8257.08,200505,202603
2627199,2627199,21250.0,63750,0,21250.0,0.0,202512,202512
2711150,2711150,263229.5,0,0,263229.5,0.0,202512,202512
2296872,2296872,458933.99,0,0,458933.99,0.0,201710,201712
2336971,2336971,32000.0,0,0,32000.0,0.0,201712,201712
2510035,2510035,1165237.08,0,0,1165237.08,0.0,202202,202305
2511432,2511432,224543.3,0,0,224543.3,0.0,202104,202212
2047596,2047596,234654.06,0,0,234654.06,0.0,200804,200909
2257137,2257137,322759.1,0,0,322759.1,0.0,201708,201812
2699467,2699467,0.0,42000,0,0.0,0.0,,
2551347,2551347,139086.17,0,0,139086.17,0.0,202208,202412
2002459,2002459,2656585.58,0,0,2656585.58,0.0,200609,200812
2192019,2192019,64629.0,0,0,64629.0,0.0,201405,201412
2458244,2458244,938055.16,197653,0,936215.16,5540.0,201908,202603
2537363,2537363,594158.79,0,0,594158.79,0.0,202208,202404
2223548,2223548,5289085.33,0,0,5289085.33,0.0,201412,201610
2104302,2104302,3702342.5,0,0,3702342.5,0.0,201003,201108
2368594,2368594,33550.0,550000,50000,33550.0,0.0,201904,201904
2503611,2503611,50000.0,0,0,50000.0,0.0,202112,202412
2639027,2639027,83161.39,0,0,83161.39,0.0,202406,202409
2715358,2715358,21755.0,11000,0,11000.0,11000.0,202512,202603
2620991,2620991,2713472.84,500000,500000,2658539.76,340289.26,202301,202604
2159511,2159511,390160.0,0,0,383166.5,0.0,201207,201610
2529045,2529045,208794.44,0,0,208794.44,0.0,202112,202202
